3:21,"Sama doom, saxool xelu akug foog,
dee ci xool foo tollu."
3:22,"Day guddal saw fan,
di rafetal sa jikko."
3:23,"Kon sab dox wóor,
doo fakkastalu."
3:24,"Soo tëddee doo tiit;
say nelaw day neex."
3:25-26,"Kon doo ragal njàqare lu bette
ak saay-saay buy songe,
ndax Aji Sax ji da lay yiir,
di la musal cig fiir."
3:27,"Bul xañ njekk ku ko yelloo,
ndegam man nga ko."
3:28,"Bul ne say dëkk: «Demal ba beneen, ma jox la,»
te fekk la yor."
3:29,"Bul fexeel dëkkandoo
bu dëkk ak yaw ci kóolute."
3:30,"Bul joteek kenn ci neen,
te tooñu la."
3:31,"Bul ñee ku néeg,
te bu ko roy fenn."
3:32,"Aji Sax ji daa sib ku dëng,
xejjoo kuy jubal."
3:33,"Aji Sax ji day alag kër ku bon,
di barkeel waa kër ku jub."
3:34,"Kuy ñaawle, moo lay ñaawal,
ku toroxlu, mu may law yiw."
3:35,"Teraanga di céru ku rafet xel,
ab dof gàccoo gàcce."
4:1,"Gone yi, tee ngeena dégg yaru baay,
te déglu, ba amug dégg."
4:2,"Maa ngi leen di jàngal lu baax,
buleen fàtte sama njàngale."
4:3,"Man it amoon naa baay,
di benn bàjjo ci saa ndey."
4:4,"Baay digal ma, ne ma:
«Jàppal samay wax ci sam xel,
di jëfe samay santaane, ba dund."
4:5,"Amal xel mu rafet akug dégg.
Bul fàtte te bul moy samay wax."
4:6,"Bul dëddu xel mu rafet, da lay aar;
sopp ko, mu sàmm la."
4:7,"Njàlbéenu xel mu rafet mooy sàkku ko;
ak loo mana am, amalug dégg."
4:8,"Nawal xel mu rafet, mu darajaal la;
tafoo ko, mu teral la."
4:9,"Da lay takkal kaala gu jekk,
solal la mbaxanam buur.»"
4:10,"Déglul, doom, te dégg saay wax,
ndax nga gudd fan."
4:11,"Yoon wu xelu laa la teg,
jaarloo la yoonu njub."
4:12,"Doo dox ba tërëf,
doo daw, téqtalu."
4:13,"Ŋoyal cib yar, bul yoqi,
sàmm ko, moo yor sa bakkan."
4:14,"Yoonu ku bon, bu ci tegu;
fu ab soxor di jaar, bu fa dox."
4:15,"Moyul, bu fa jaare;
mbasal te wéy!"
4:16,"Ku bon du nelaw te lorewul,
du dajjant ba kera muy téqe."
4:17,"Daa bon, def ko lekk,
di màndee coxoram."
4:18,"Yoonu ku jub day leer,
ba ne ràññ ni bëccëg."
4:19,"Yoonu ku bon ne këruus,
du xam lu muy téqtaloo."
4:20,"Doom, déglul samay kàddu,
teewlul samay wax."
4:21,"Bu ci noppee ja jàkk,
te jàpp ko ci sa biir xel."
4:22,"Mooy dundloo ku ci jàpp,
di wéral jëmmam jépp."
4:23,"Sàmmal a sàmm sab xol,
nde xalaati xol ngay jëfe."
4:24,"Dàqal wor, mu sore la;
kàdduy naxe, na la dànd."
4:25,"Xooleel, sa bët ne jàkk,
ngay xool sa kanam màkk."
4:26,"Seetlul fi ngay teg tànk,
ba foo awe, mu wóor."
4:27,"Bul jàdd, ndijoor mbaa càmmoñ,
na sa tànk moyu lu bon."
5:1-2,"Sama doom, déglul sama xel mu rafet,
teewlul sama déggin,
kon nga saxoo foog,
say wax tegu ci xam-xam."
5:3,"Lu mel ni lem la jigéenu njaalookat di wax,
làmmiñ wa ni diw gu ñu lay raay."
5:4,"Muj ga mu wex xàtt,
di gaañe ni ñawkay saamar."
5:5,"Tànk ya day bartalu wuti dee,
ay jéegoom àkki njaniiw."
5:6,"Rëddul yoonu dund,
daa lajj, te xamu ko."
5:7,"Kon, samay doom, dégluleen ma,
buleen wacc samay kàddu."
5:8,"Soreel ndaw soosu,
bul jege bunt këram."
5:9,"Kon nga ñàkk daraja, keneen jagoo;
ku néeg bóom la."
5:10,"Jàmbur jariñoo sa doole,
doxandéem jagoo saw ñaq."
5:11,"Ngay mujje onk,
desey yax, jeex tàkk."
5:12,"Nga naan: «Su ma yégoon, sopp ab yar
te baña sofental waxi artu."
5:13,"Lu ma tee woona dégg ku may digal,
tey teewlu sama waxi sëriñ ya?"
5:14,"Tuuti ma yàqu yaxeet
fi kanam ñépp!»"
5:15,"Naanal ci sa mbalkam bopp,
ndox ma balle sa teenu bopp."
5:16,"Xanaa doo wasaare sa bëti ndox ca biti,
mu def ay wal ca pénc ya?"
5:17,"Nay sa alal, yaw doŋŋ,
ku bokk feneen bokkul."
5:18,"Yal na sa naanukaay barkeel,
nga bànneexoo kiy sa jabar ba ngay ndaw."
5:19,"Aka sopplu te jekk!
Na lay céram doy foo tollu,
na la xañ sago saa su ne."
5:20,"Doom, ana looy xemmeme keneen,
bay fowe céri jàmbur?"
5:21,"Lu waay jëf, Aji Sax ji gis,
di xool mboolem fu mu jaare."
5:22,"Jëf ju bon day fiir ka ko sàlloo,
bàkkaaram di mbaal, jàpp ko."
